iter	Passed	Remaining
738	91574	32342
739	91675	32210
740	91771	32076
741	91877	31946
742	91983	31816
743	92092	31687
744	92216	31564
745	92362	31447
746	92508	31331
747	92630	31207
748	92763	31086
749	92896	30965
750	93039	30847
751	93156	30721
752	93282	30598
753	93413	30477
754	93552	30358
755	93687	30237
756	93826	30118
757	93968	30000
758	94109	29881
759	94246	29762
760	94386	29643
761	94531	29525
762	94667	29405
763	94787	29279
764	94925	29160
765	95069	29042
766	95198	28919
767	95319	28794
768	95441	28669
769	95573	28547
770	95623	28401
771	95728	28272
772	95777	28126
773	95938	28012
774	96073	27892
775	96232	27778
776	96370	27658
777	96522	27542
778	96683	27428
779	96827	27310
780	96952	27186
781	97075	27062
782	97180	26932
783	97290	26804
784	97398	26676
785	97534	26555
786	97675	26435
787	97834	26320
788	97979	26202
789	98125	26084
790	98258	25962
791	98409	25844
792	98558	25727
793	98684	25603
794	98795	25475
795	98909	25348
796	99051	25228
797	99197	25110
798	99335	24989
799	99473	24868
800	99612	24747
801	99761	24629
802	99884	24504
803	100009	24380
804	100130	24255
805	100258	24131
806	100383	24007
807	100512	23884
808	100651	23763
809	100783	23640
810	100902	23514
811	100963	23375
812	101097	23253
813	101212	23127
814	101320	22999
815	101439	22873
816	101557	22747
817	101655	22617
818	101768	22490
819	101875	22362
820	101995	22237
821	102120	22113
822	102253	21991
823	102374	21866
824	102501	21742
825	102619	21617
826	102714	21486
827	102849	21364
828	102978	21241
829	103115	21119
830	103263	21000
831	103398	20878
832	103525	20754
833	103652	20631
834	103770	20505
835	103870	20376
836	103970	20247
837	104066	20117
838	104146	19985
839	104226	19852
840	104308	19720
841	104352	19581
842	104433	19449
843	104514	19317
844	104597	19186
845	104680	19055
846	104769	18925
847	104849	18793
848	104934	18663
849	105016	18532
850	105097	18401
851	105181	18271
852	105260	18139
853	105347	18010
854	105428	17879
855	105511	17749
856	105594	17619
857	105670	17488
858	105746	17357
859	105831	17228
860	105909	17098
861	105995	16969
862	106076	16839
863	106160	16710
864	106242	16581
865	106325	16452
866	106399	16322
867	106483	16193
868	106563	16064
869	106644	15935
870	106725	15806
871	106803	15677
872	106878	15548
873	106957	15419
874	107047	15292
875	107127	15164
876	107210	15036
877	107291	14908
878	107372	14780
879	107460	14653
880	107541	14526
881	107624	14398
882	107703	14271
883	107785	14143
884	107869	14016
885	107951	13889
886	108031	13762
887	108113	13635
888	108194	13509
889	108275	13382
890	108356	13255
891	108432	13128
892	108515	13002
893	108593	12875
894	108621	12743
895	108705	12617
896	108787	12491
897	108884	12367
898	108968	12242
899	109052	12116
900	109128	11990
901	109204	11864
902	109284	11739
903	109365	11614
904	109449	11489
905	109530	11364
906	109611	11239
907	109696	11114
908	109777	10989
909	109857	10865
910	109941	10740
911	110014	10615
912	110095	10491
913	110176	10366
914	110257	10242
915	110312	10115
916	110396	9992
917	110478	9868
918	110559	9744
919	110642	9621
920	110724	9497
921	110808	9374
922	110888	9250
923	110969	9127
924	111051	9004
925	111135	8881
926	111215	8758
927	111242	8630
928	111316	8507
929	111391	8384
930	111476	8261
931	111558	8139
932	111640	8017
933	111722	7894
934	111804	7772
935	111847	7647
936	111939	7526
937	112018	7404
938	112099	7282
939	112153	7158
940	112235	7037
941	112317	6915
942	112370	6792
943	112446	6670
944	112530	6549
945	112606	6427
946	112692	6306
947	112777	6186
948	112856	6064
949	112939	5944
950	113027	5823
951	113108	5702
952	113190	5582
953	113274	5461
954	113389	5342
955	113490	5223
956	113582	5103
957	113694	4984
958	113774	4864
959	113865	4744
960	113944	4624
961	114033	4504
962	114118	4384
963	114196	4264
964	114278	4144
965	114361	4025
966	114437	3905
967	114514	3785
968	114604	3666
969	114680	3546
970	114765	3427
971	114843	3308
972	114925	3189
973	115017	3070
974	115077	2950
975	115175	2832
976	115272	2713
977	115377	2595
978	115481	2477
979	115578	2358
980	115658	2240
981	115741	2121
982	115823	2003
983	115902	1884
984	115988	1766
985	116046	1647
986	116127	1529
987	116210	1411
988	116295	1293
989	116378	1175
990	116433	1057
991	116511	939
992	116598	821
993	116677	704
994	116759	586
995	116842	469
996	116923	351
997	117003	234
998	117090	117
999	117175	0
